"","park_name","acres","latitude","longitude","park_name_short","state_long","meters_sq","count_mammal","count_bird","count_reptile","count_amphibian","count_fish","count_insect","count_arachnid","count_gastropod","count_shellfish","count_other","count_vascular","count_nonvascular","count_algae","count_fungi","count_animals","count_vert","count_invert","count_plants","animals_native_total","animals_native_percent","animals_endanger","rank_mammal","rank_bird","rank_reptile","rank_amphibian","rank_fish"
"1","Acadia National Park",47390,44.35,-68.21,"Acadia","Maine",191780695.4,55,364,11,15,38,0,0,0,0,0,1226,0,0,0,483,483,0,1226,304,62.9,4,30,8,23,12,21
"2","Arches National Park",76519,38.68,-109.57,"Arches","Utah",309661680.34,59,205,20,8,11,0,0,0,0,0,745,0,0,0,303,303,0,745,288,95,3,27,39,20,17,38
"3","Badlands National Park",242756,43.75,-102.5,"Badlands","South Dakota",982399546.16,64,239,13,10,24,239,1,0,0,1,625,0,0,173,591,350,241,625,325,55,3,23,27,21,15,27
"4","Big Bend National Park",801163,29.25,-103.25,"Big Bend","Texas",3242194498.18,89,415,62,13,53,0,0,0,0,0,1589,48,0,0,632,632,0,1637,602,95.3,9,10,4,3,13,17
"5","Biscayne National Park",172924,25.65,-80.08,"Biscayne","Florida",699799218.64,28,233,40,8,818,11,0,0,0,34,554,0,0,0,1172,1127,45,554,384,32.8,18,40,31,11,17,1
"6","Black Canyon of the Gunnison National Park",32950,38.57,-107.72,"Black Canyon of the Gunnison","Colorado",133344037,67,175,11,2,16,0,0,0,0,0,835,0,0,0,271,271,0,835,257,94.8,3,21,44,23,23,33
"7","Bryce Canyon National Park",35835,37.57,-112.18,"Bryce Canyon","Utah",145019228.1,76,217,13,4,1,0,0,0,0,0,975,0,0,0,311,311,0,975,303,97.4,3,16,36,21,21,46
"8","Canyonlands National Park",337598,38.2,-109.93,"Canyonlands","Utah",1366211842.28,76,220,22,7,33,0,0,0,0,0,865,0,0,0,358,358,0,865,329,91.9,9,16,35,18,18,22
"9","Capitol Reef National Park",241904,38.2,-111.17,"Capitol Reef","Utah",978951621.44,73,248,21,6,15,0,0,0,0,0,1203,0,0,0,363,363,0,1203,346,95.3,5,18,22,19,19,34
"10","Carlsbad Caverns National Park",46766,32.17,-104.44,"Carlsbad Caverns","New Mexico",189255454.76,92,367,62,15,5,0,0,0,0,0,995,0,0,0,541,541,0,995,516,95.4,5,9,7,3,12,43
"11","Channel Islands National Park",249561,34.01,-119.42,"Channel Islands","California",1009938428.46,44,357,11,4,273,2,1,33,11,196,824,68,61,122,932,689,243,892,907,97.3,17,35,9,23,21,5
"12","Congaree National Park",26546,33.78,-80.78,"Congaree","South Carolina",107427945.56,39,200,50,43,65,617,21,21,6,15,884,7,74,427,1077,397,680,891,374,34.7,5,38,40,9,3,13
"13","Crater Lake National Park",183224,42.94,-122.1,"Crater Lake","Oregon",741481876.64,96,252,20,20,13,994,17,9,40,68,1628,193,218,628,1529,401,1128,1821,351,23,6,7,21,20,9,36
"14","Cuyahoga Valley National Park",32950,41.24,-81.55,"Cuyahoga Valley","Ohio",133344037,47,246,23,24,85,227,2,15,8,25,1239,0,0,0,702,425,277,1239,635,90.5,2,34,23,17,7,12
"15","Denali National Park and Preserve",3372402,63.33,-150.5,"Denali","Alaska",13647638757.72,212,531,90,71,9,903,32,72,38,18,2258,22,60,243,1976,913,1063,2280,234,11.8,1,1,1,1,1,40
"16","Death Valley National Park",4740912,36.24,-116.82,"Death Valley","California | Nevada",19185807136.32,43,179,0,1,14,51,0,0,0,3,841,159,0,29,291,237,54,1000,509,174.9,20,36,43,32,24,35
"17","Dry Tortugas National Park",64701,24.63,-82.87,"Dry Tortugas","Florida",261835888.86,6,283,5,0,281,0,0,0,0,42,231,0,0,0,617,575,42,231,257,41.7,11,43,13,28,25,4
"18","Everglades National Park",1508538,25.32,-80.93,"Everglades","Florida",6104842090.68,42,370,61,17,426,0,0,0,0,0,1168,0,0,0,916,916,0,1168,685,74.8,14,37,6,4,10,2
"19","Gates Of The Arctic National Park and Preserve",7523898,67.78,-153.3,"Gates Of The Arctic","Alaska",30448161860.28,39,134,0,1,17,0,0,0,0,0,688,0,0,474,191,191,0,688,189,99,0,38,46,32,24,32
"20","Glacier National Park",1013572,48.8,-114,"Glacier","Montana",4101783983.92,58,258,3,5,359,35,3,37,96,117,822,98,64,130,971,683,288,920,424,43.7,2,28,20,30,20,3
"21","Glacier Bay National Park and Preserve",3224840,58.5,-137,"Glacier Bay","Alaska",13050476002.4,69,277,4,6,27,197,0,20,6,2,1266,404,2,280,608,383,225,1670,640,105.3,12,19,14,29,19,25
"22","Great Basin National Park",77180,38.98,-114.3,"Great Basin","Nevada",312336654.8,106,456,76,15,29,57,142,2,0,1,1738,0,0,0,884,682,202,1738,322,36.4,6,3,3,2,12,24
"23","Grand Canyon National Park",1217403,36.06,-112.14,"Grand Canyon","Arizona",4926659504.58,74,266,5,7,21,154,1,4,1,5,1463,0,1,30,538,373,165,1463,798,148.3,13,17,18,28,18,29
"24","Great Sand Dunes National Park and Preserve",42984,37.73,-105.51,"Great Sand Dunes","Colorado",173950230.24,103,330,58,22,21,456,18,30,6,29,1549,16,0,15,1073,534,539,1565,307,28.6,0,4,10,5,8,29
"25","Great Smoky Mountains National Park",521490,35.68,-83.53,"Great Smoky Mountains","Tennessee | North Carolina",2110397021.4,68,240,8,6,6,1,0,0,0,0,622,1,0,0,329,328,1,623,572,173.9,15,20,26,26,19,42
